Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
83	-24.105644	47.229687	67.89674	-739.1713	-22.448605	30.357948	11.178891	-111.09688	51.744335	54.65	331999	8.593806	12.326635	48.79039	-1077.7734	-10.010299	21.501827	1756.8290045261383
84	-28.609356	33.038754	17.205584	-303.69995	-26.789282	21.21504	19.672243	-68.35651	53.87584	46.025	335999	8.744551	12.313969	48.52524	-497.54294	-10.168822	23.109562	1778.1115403175354
85	-28.301361	54.515484	29.465744	-745.3964	-19.177633	22.1183	22.89344	-67.35942	52.69637	54.325	339999	8.329142	12.158239	46.678165	-736.9382	-9.725583	22.732132	1799.0150408744812
86	-25.4082	34.023357	46.82414	-450.807	-26.46766	25.738958	11.549839	-115.70246	52.101307	54.625	343999	8.383395	12.153311	48.06962	-891.2391	-9.7883005	23.271872	1820.653331041336
87	-29.866163	61.54079	27.26016	-710.8386	-26.003485	26.464634	12.267269	-86.32249	55.74653	59.125	347999	8.700736	12.206167	47.123222	-954.47504	-10.135111	23.105297	1841.887272119522
88	-24.587894	31.966118	30.516773	-395.68378	-32.346355	66.16364	13.403774	-419.32214	53.546978	49.9	351999	8.914683	12.338132	48.55008	-680.2782	-10.32976	26.212187	1863.3064513206482
89	-29.011223	43.84661	92.43485	-600.37445	-23.827305	18.23857	7.175099	-66.39212	51.736336	58.7	355999	9.162038	12.628632	51.603107	-730.5096	-10.592246	24.216055	1884.4927673339844
90	-28.360447	33.91894	26.730013	-457.10028	-43.251575	75.75445	26.985275	-477.09872	53.481606	48.05	359999	9.160383	12.663482	50.84878	-757.0125	-10.563338	22.884048	1905.5468327999115
91	-27.562456	39.404346	24.690361	-519.07086	-34.54892	26.76442	9.397978	-94.075455	51.44013	61.325	363999	9.144116	12.549104	48.633644	-771.7916	-10.535885	25.400927	1927.8679473400116
92	-36.12627	64.44536	21.868977	-816.1794	-23.159672	17.792858	8.148797	-77.18317	53.94295	53.5	367999	9.013357	12.504842	48.25774	-998.28265	-10.423982	27.514273	1949.0148627758026
93	-27.32111	27.41032	29.877037	-252.65347	-47.84578	135.99396	12.041674	-833.72986	51.97411	57.375	371999	9.286414	12.53168	49.26802	-981.20123	-10.692538	27.224758	1970.0748748779297
94	-27.009499	26.307457	26.035156	-261.51675	-33.70179	33.357903	17.73209	-171.67227	54.395905	63.525	375999	9.398165	12.527565	49.0582	-849.42004	-10.779793	27.337564	1991.603776216507
95	-27.233	25.23076	19.164179	-143.33412	-27.154413	22.794914	8.524647	-85.97803	52.674343	60.7	379999	9.138644	12.313278	50.22793	-757.193	-10.498183	24.66409	2013.8471086025238
96	-31.439472	30.844938	19.455294	-348.52487	-47.68978	83.38326	25.02088	-534.60223	53.60067	58.025	383999	9.067501	12.371824	50.61719	-775.7142	-10.433086	25.271751	2035.4663491249084
97	-27.563562	30.534874	23.030968	-267.18985	-31.535702	36.414635	23.42198	-130.09329	56.05944	56.925	387999	9.290306	12.501426	49.80473	-913.6499	-10.674961	23.391304	2056.6149473190308
98	-24.06106	28.301441	40.971447	-233.33388	-22.25968	22.207539	21.886404	-78.01524	54.094276	49.775	391999	9.356561	12.530787	50.052746	-542.7557	-10.7096195	26.431593	2077.973842382431
99	-26.288954	31.3269	210.24545	-206.01517	-28.458881	21.170132	7.6058006	-72.48963	53.009968	47.95	395999	9.17831	12.392172	48.065598	-1049.0503	-10.541819	26.98386	2098.984345436096
100	-28.503895	26.228813	26.976671	-279.02225	-40.65931	90.918106	7.5902104	-590.98926	48.782875	49.3	399999	9.126797	12.4179125	48.364292	-672.90625	-10.480446	22.532507	2119.813769340515
